,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,M1,M2,M3,M4,M5,M6,G1,G2,G3,G4,G5,G6,G7,G8,G9,R1,R2,R3,R4,R5,R6,R7,R8,T1,T2
M6,-0.065114,-0.039608,0.034102,-0.092178,0.117008,-0.012625,-0.032941,0.040366,0.01347,0.023839,-0.025868,0.063668,0.049097,-0.066931,0.046629,-0.169145,-0.049599,-0.124023,2e-06,0.096571,0.008681,1e-06,0.217394,-0.063519,0.017236,0.061365,0.751836,-0.645995,1.0,-0.034826,0.046496,0.049481,-0.097039,-0.062486,0.091256,-0.101915,0.158621,0.130954,0.044029,-0.077665,-0.056365,-0.075663,-0.070329,-0.086093,0.064823,0.009829,0.088325,-0.113713
G1,0.141996,-0.101161,-0.173964,0.257738,-0.273291,0.087959,0.176588,0.089817,-0.03969,-0.057389,-0.19401,0.120436,0.112465,0.04617,0.112782,-0.110647,-0.112713,-0.054517,-1e-06,-0.063797,0.118476,-2e-06,-0.002986,-0.078196,0.000382,0.192515,-0.032548,0.065565,-0.034826,1.0,0.743134,0.252702,0.172563,0.210092,-0.350152,0.293449,-0.234187,-0.17296,-0.047356,0.127351,-0.093502,0.024035,0.338834,-0.034002,-0.112963,0.041973,-0.037615,-0.068131
G2,0.002196,-0.033572,0.079724,-0.139655,0.250305,-0.043042,-0.077522,0.014204,0.061974,-0.152078,0.270808,-0.067783,-0.061246,0.019099,-0.062751,0.072329,0.06178,0.10295,-2.6e-05,0.054028,-0.119183,-2.5e-05,0.007766,0.075256,0.004945,-0.228779,0.043134,-0.043027,0.046496,0.743134,1.0,0.146843,-0.415569,0.039364,0.573678,-0.523701,0.330486,0.419428,-0.003767,-0.083079,0.050965,0.121637,-0.265563,-0.105658,0.113616,-0.082359,0.076863,0.071422
G3,-0.175444,0.239978,0.020426,-0.089172,-0.023754,0.008561,-0.028404,-0.191537,0.018169,0.250469,-0.094676,-0.058098,-0.048572,-0.144865,-0.049569,0.116451,0.050344,-0.029271,1.5e-05,-0.152401,0.006692,1.5e-05,-0.050558,0.092474,-0.159265,-0.00458,-0.113492,0.109747,0.049481,0.252702,0.146843,1.0,-0.026863,-0.504157,-0.080914,0.12823,-0.010865,-0.136856,0.098743,0.003969,0.038374,-0.15644,-0.016509,0.025367,0.134602,-0.112246,-0.066674,0.039524
G4,0.044112,0.031545,-0.175666,0.184974,0.025324,0.040982,0.17585,-0.037756,-0.042821,-0.184154,0.095086,-0.006568,-0.004223,0.053963,-0.007031,0.028321,0.004683,-0.074138,-1.1e-05,0.024487,0.169926,-1.1e-05,0.023706,-0.061387,0.014367,0.093746,0.120022,-0.061867,-0.097039,0.172563,-0.415569,-0.026863,1.0,-0.131235,0.187292,-0.163104,0.126619,0.673452,0.083762,-0.057718,-0.051314,-0.016222,-0.018089,-0.07643,0.023264,-0.03606,0.005724,0.027132
G5,-0.144934,0.103706,0.190824,-0.19617,0.156154,0.002538,-0.193231,-0.103967,-0.010809,0.205076,-0.023576,-0.147914,-0.143895,-0.042803,-0.144054,0.042217,0.143982,0.014753,-6.9e-05,0.025797,-0.116652,-6.9e-05,-0.002736,-0.035165,0.035321,0.004809,-0.034187,0.005361,-0.062486,0.210092,0.039364,-0.504157,-0.131235,1.0,0.064388,0.048253,0.285592,0.043725,0.185368,-0.163689,0.083323,-0.112544,-0.235912,-0.006709,0.129596,-0.043605,-0.005507,0.054668
G6,0.000928,-0.009225,-0.053305,0.233662,-0.268374,0.015567,0.052507,0.019777,0.005248,0.05002,-0.083017,-0.042834,-0.050523,0.036503,-0.049057,-0.111984,0.04969,-0.119593,-2e-06,-0.001336,0.027823,-1e-06,-0.039889,0.024467,0.052259,0.104098,-0.141028,0.135529,0.091256,-0.350152,0.573678,-0.080914,0.187292,0.064388,1.0,0.977677,-0.863518,-0.151458,0.105655,0.095357,-0.002855,0.030548,0.260901,0.210643,-0.10211,0.057157,-0.171818,-0.064872
G7,0.011811,0.003935,0.032814,-0.21005,0.231145,-0.002747,-0.031823,-0.018162,-0.013907,-0.073223,0.080497,0.075966,0.082091,-0.026592,0.080852,0.095269,-0.081405,0.137627,1.3e-05,-0.04276,0.013734,1e-06,0.032236,-0.030174,-0.075792,-0.091588,0.147071,-0.132199,-0.101915,0.293449,-0.523701,0.12823,-0.163104,0.048253,0.977677,1.0,0.88969,0.1367,-0.117652,-0.067381,-0.013991,-0.040131,-0.229403,-0.200771,0.102927,-0.072969,0.186438,0.066767
G8,0.049914,-0.044455,-0.085579,0.204911,-0.184231,-0.023983,0.08554,0.068074,0.030099,0.018541,-0.057509,-0.04947,-0.052559,0.015983,-0.051821,-0.056388,0.052346,-0.143512,0.0,0.074188,-0.038841,6e-06,-0.03402,0.075601,0.07228,0.051821,-0.140379,0.123544,0.158621,-0.234187,0.330486,-0.010865,0.126619,0.285592,-0.863518,0.88969,1.0,-0.081574,0.050748,0.112087,-0.00225,0.080571,0.263302,0.194059,-0.133386,0.086229,-0.209342,-0.088722
G9,0.010357,0.146843,0.075403,-0.12166,-0.024904,0.030788,-0.080405,-0.08546,-0.040805,0.241562,-0.176454,-0.010243,-0.010354,-0.058139,-0.00948,0.004145,0.01038,0.054851,-1.8e-05,-0.029213,0.024928,-1.8e-05,-0.048846,0.19197,-0.10387,-0.115878,-0.185862,0.155229,0.130954,-0.17296,0.419428,-0.136856,0.673452,0.043725,-0.151458,0.1367,-0.081574,1.0,-0.069391,-0.111994,-0.022196,-0.199024,0.069469,-0.02692,-0.079487,0.098167,-0.126625,-0.063526
R1,0.162726,-0.075611,-0.151286,0.077574,0.003921,0.025631,0.15244,0.082138,0.019739,-0.133554,-0.138473,0.218834,0.214181,0.093807,0.213579,-0.026035,-0.214977,0.142958,3.5e-05,-0.044995,0.03778,3.5e-05,0.092419,-0.070916,0.032073,0.009025,0.086313,-0.073375,0.044029,-0.047356,-0.003767,0.098743,0.083762,0.185368,0.105655,-0.117652,0.050748,-0.069391,1.0,0.059487,-0.003804,-0.127699,0.087008,-0.002505,-0.207258,0.175983,0.101142,-0.011113
R2,-0.244782,0.212998,0.231688,-0.222141,0.198301,0.103601,-0.236656,-0.21402,-0.096131,0.275464,-0.052145,-0.095608,-0.088111,-0.05397,-0.087811,0.097989,0.088413,0.123107,0.00011,-0.017428,-0.00144,0.00011,0.069207,0.140418,-0.032405,-0.114611,0.142398,-0.180338,-0.077665,0.127351,-0.083079,0.003969,-0.057718,-0.163689,0.095357,-0.067381,0.112087,-0.111994,0.059487,1.0,-0.112899,-0.35679,-0.465957,0.165561,-0.126133,0.410287,-0.086103,-0.102074
R3,0.11584,0.030563,-0.249576,0.064081,-0.002905,0.166945,0.24923,0.001626,-0.069778,-0.058485,-0.07339,0.086604,0.08368,0.041452,0.082822,-0.097724,-0.082567,-0.075934,-1.5e-05,0.050934,0.129539,-1.5e-05,0.06135,0.134147,-0.181656,0.081458,0.08895,0.029589,-0.056365,-0.093502,0.050965,0.038374,-0.051314,0.083323,-0.002855,-0.013991,-0.00225,-0.022196,-0.003804,-0.112899,1.0,-0.105494,0.116599,-0.09933,-0.086952,0.084131,-0.012511,-0.296644
R4,0.169693,0.193214,0.067948,-0.33561,0.189311,0.032962,-0.074705,-0.107616,0.065792,0.243026,-0.126358,0.067867,0.065567,-0.076785,0.066494,0.014142,-0.066225,0.133952,-6e-06,-0.061035,0.070562,-6e-06,0.050389,0.148359,-0.108028,-0.064539,0.10491,-0.106496,-0.075663,0.024035,0.121637,-0.15644,-0.016222,-0.112544,0.030548,-0.040131,0.080571,-0.199024,-0.127699,-0.35679,-0.105494,1.0,-0.196747,0.159142,-0.107574,0.240376,-0.109297,-0.063014
R5,-0.358142,0.170151,0.417476,-0.370514,0.362982,-0.078711,-0.422982,-0.12505,-0.094641,0.366831,-0.011094,-0.218225,-0.205897,-0.124933,-0.204657,0.154943,0.206578,0.005936,-1.5e-05,0.056878,-0.14832,-1.3e-05,-0.038614,0.047153,0.107334,-0.058293,0.115218,-0.254252,-0.070329,0.338834,-0.265563,-0.016509,-0.018089,-0.235912,0.260901,-0.229403,0.263302,0.069469,0.087008,-0.465957,0.116599,-0.196747,1.0,0.291321,-0.058822,0.338657,-0.09378,-0.048524
R6,0.077603,-0.136,-0.063691,0.144027,-0.093369,0.112537,0.068593,0.101917,0.004179,-0.091526,-0.055915,0.078218,0.078377,0.003917,0.07398,-0.059714,-0.076115,-0.05977,0.0,0.008839,0.048205,-1e-06,0.042633,-0.002767,-0.110569,-0.018059,0.018826,0.061021,-0.086093,-0.034002,-0.105658,0.025367,-0.07643,-0.006709,0.210643,-0.200771,0.194059,-0.02692,-0.002505,0.165561,-0.09933,0.159142,0.291321,1.0,0.186885,-0.190863,0.096167,0.01654
R7,0.159275,-0.006862,-0.16423,0.102231,-0.072386,-0.033797,0.1641,0.022154,0.030147,-0.127639,0.08989,0.031937,0.028068,0.010109,0.028227,-0.030552,-0.028415,-0.115083,-7e-06,0.149574,0.10519,-7e-06,0.037496,-0.079619,0.085088,0.19035,0.129448,-0.077115,0.064823,-0.112963,0.113616,0.134602,0.023264,0.129596,-0.10211,0.102927,-0.133386,-0.079487,-0.207258,-0.126133,-0.086952,-0.107574,-0.058822,0.186885,1.0,0.924916,-0.081713,-0.056725
R8,-0.008452,-0.080264,0.020267,0.033384,-0.046562,0.034489,-0.017345,0.044561,-0.003622,-0.043965,-0.033421,0.025878,0.025678,0.036032,0.025377,-0.01917,-0.025649,0.117223,1.1e-05,-0.177666,-0.068709,1.1e-05,-0.048598,0.010677,-0.065178,-0.137762,-0.199797,0.197134,0.009829,0.041973,-0.082359,-0.112246,-0.03606,-0.043605,0.057157,-0.072969,0.086229,0.098167,0.175983,0.410287,0.084131,0.240376,0.338657,-0.190863,0.924916,1.0,0.120055,0.108873
T1,0.037991,0.085852,-0.064495,-0.077191,0.072085,0.050058,0.062092,-0.023174,-0.080251,0.105413,-0.04444,-0.051214,-0.042824,-0.055693,-0.043331,0.073977,0.044392,-0.121451,1e-05,0.097375,0.023563,1.4e-05,-0.091469,0.496028,-0.353511,0.18872,-0.083907,0.063406,0.088325,-0.037615,0.076863,-0.066674,0.005724,-0.005507,-0.171818,0.186438,-0.209342,-0.126625,0.101142,-0.086103,-0.012511,-0.109297,-0.09378,0.096167,-0.081713,0.120055,1.0,-0.104601
T2,0.011867,0.096277,-0.025951,-0.031049,0.077522,0.279981,0.023443,-0.088378,-0.150376,0.106675,-0.181357,0.053201,0.050745,0.00692,0.049892,-0.037736,-0.050715,-0.105827,-3e-05,0.157991,0.004734,-3e-05,0.118572,0.377379,-0.341023,0.100424,0.187613,-0.219628,-0.113713,-0.068131,0.071422,0.039524,0.027132,0.054668,-0.064872,0.066767,-0.088722,-0.063526,-0.011113,-0.102074,-0.296644,-0.063014,-0.048524,0.01654,-0.056725,0.108873,-0.104601,1.0
